,price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize,cluster
145,11999,26973,1,2,2017,1,145,57.7,1.0,2
146,18700,3095,0,2,2019,0,145,64.2,2.0,0
147,7825,22502,1,1,2016,1,0,65.7,1.0,0
148,15510,1786,1,2,2019,1,145,58.9,1.0,0
149,12012,20621,1,2,2017,1,145,57.7,1.0,0
150,9893,39888,1,0,2017,1,125,52.3,1.0,2
151,14652,20059,1,1,2019,1,145,40.3,1.5,0
152,7511,46243,1,1,2015,0,0,78.5,1.5,2
153,17999,3521,0,2,2019,0,145,64.2,2.0,0
154,7891,15543,1,1,2016,1,125,54.3,1.2,0
155,8344,19648,1,1,2016,1,0,65.7,1.0,0
156,9610,50332,1,2,2015,1,125,51.4,1.5,2
157,7731,26822,1,1,2014,1,0,65.7,1.0,2
158,10295,23742,1,2,2015,0,0,74.3,1.5,0
159,10999,30295,1,1,2018,1,145,65.7,1.0,2
160,12295,23016,1,2,2017,1,145,51.4,1.5,0
161,10999,13671,1,2,2017,1,145,60.1,1.0,0
162,12120,16853,1,2,2017,1,145,57.7,1.0,0
163,12499,17330,1,2,2018,0,145,74.3,1.5,0
164,7899,60482,1,2,2015,0,0,74.3,1.5,3
165,11999,20310,1,2,2017,0,145,74.3,1.5,0
166,15749,19664,1,2,2016,1,200,41.5,2.0,0
167,17699,3252,0,2,2019,0,145,64.2,2.0,0
168,16399,6937,1,1,2019,1,145,40.3,1.5,0
169,9360,25438,1,1,2017,1,0,65.7,1.0,2
170,11500,2481,1,2,2017,1,145,60.1,1.0,0
171,12204,22688,1,2,2018,1,145,57.7,1.0,0
172,11389,36608,1,2,2017,0,145,74.3,1.5,2
173,9499,31309,1,2,2016,1,20,60.1,1.0,2
174,19500,1520,0,2,2019,0,145,64.2,2.0,0
175,9995,34040,1,2,2017,0,0,74.3,1.5,2
176,5448,66471,1,1,2013,1,30,54.3,1.2,3
177,9499,17378,1,1,2017,1,145,65.7,1.0,0
178,8299,60002,1,1,2014,1,145,47.9,1.6,3
